,ID Банкомата,Адрес строкой RU,coord,coord_x,0,1
62,ATM50399,Область Томская Город Томск Проспект Ленина Дом 73,"<[OK] Yandex - Geocode [Russia, Tomsk, prospekt Lenina, 73]>","['56.475882', '84.950469']",56.475882,84.950469
63,ATM50400,Край Забайкальский Город Чита Улица Ленина Дом 24,"<[OK] Yandex - Geocode [Russia, Trans-Baikal Territory, Chita, ulitsa Lenina, 24]>","['52.026111', '113.520516']",52.026111,113.520516
64,ATM50402,Область Амурская Город Белогорск Улица Никольское шоссе Дом 38,"<[OK] Yandex - Geocode [Russia, Amurskaya oblast, Belogorsk, Nikolskoye shosse, 38]>","['50.913081', '128.46567']",50.913081,128.46567
65,ATM50418,Область Тюменская Город Тюмень Улица Федюнинского Дом 67,"<[OK] Yandex - Geocode [Russia, Tyumen, ulitsa Fedyuninskogo, 67]>","['57.102973', '65.570368']",57.102973,65.570368
66,ATM50420,Край Красноярский Район Емельяновский Поселок Солонцы Проспект Котельникова Дом 1,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Yemelyanovskiy rayon, posyolok Solontsy, prospekt Kotelnikova, 1]>","['56.06266', '92.841037']",56.06266,92.841037
67,ATM50424,Край Красноярский Город Красноярск Улица Красной Армии Дом 16А,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, ulitsa Krasnoy Armii, 16А]>","['56.01396', '92.852033']",56.01396,92.852033
68,ATM50425,Край Красноярский Город Красноярск Улица Сибирская Дом 92,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, Sibirskaya ulitsa, 92]>","['55.961344', '92.795178']",55.961344,92.795178
69,ATM50426,Край Красноярский Город Красноярск Улица Чернышевского Дом 71,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, ulitsa Chernyshevskogo, 71]>","['56.035733', '92.871113']",56.035733,92.871113
70,ATM50466,Область Пензенская Город Пенза Улица Пенза-5 Дом 20,"<[OK] Yandex - Geocode [Russia, Penza Region]>","['53.240932', '43.946823']",53.240932,43.946823
71,ATM50478,Область Кемеровская Город Новокузнецк Улица Кирова Дом 55,"<[OK] Yandex - Geocode [Russia, Kemerovo Region, Novokuznetsk, ulitsa Kirova, 55]>","['53.758889', '87.138164']",53.758889,87.138164
72,ATM50479,Область Кемеровская Город Ленинск-Кузнецкий Улица Топкинская Дом 180,"<[OK] Yandex - Geocode [Russia, Kemerovo Region, Leninsk-Kuznetskiy, Topkinskaya ulitsa, 180]>","['54.71852', '86.200799']",54.71852,86.200799
73,ATM50480,Область Волгоградская Город Волгоград Бульвар им Энгельса Дом 20,"<[OK] Yandex - Geocode [Russia, Volgograd, bulvar Engelsa, 20]>","['48.512511', '44.542658']",48.512511,44.542658
74,ATM50489,Край Красноярский Город Норильск Улица Строителей Дом 21,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk Territory, Norilsk, ulitsa Stroiteley, 21]>","['69.48414', '88.396057']",69.48414,88.396057
75,ATM50490,Край Красноярский Город Красноярск Улица Мусоргского Дом 15,"<[OK] Yandex - Geocode [Russia, Krasnoyarsk, ulitsa Musorgskogo, 15]>","['55.979485', '92.91761']",55.979485,92.91761
76,ATM50520,Край Приморский Город Владивосток Улица Новоивановская Дом 3,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Vladivostok, Novoivanovskaya ulitsa, 3]>","['43.111264', '131.935036']",43.111264,131.935036
77,ATM50522,Область Нижегородская Город Нижний Новгород Улица Бетанкура Дом 1а,"<[OK] Yandex - Geocode [Russia, Nizhniy Novgorod, Betankur Street, 1А]>","['56.337386', '43.96461']",56.337386,43.96461
78,ATM50523,Край Краснодарский Город Краснодар Улица Мира Дом 35,"<[OK] Yandex - Geocode [Russia, Krasnodar, mikrorayon Tsentralny, ulitsa Mira, 35]>","['45.021061', '38.969761']",45.021061,38.969761
79,ATM50524,Город Москва Набережная Академика Туполева Дом 15к22,"<[OK] Yandex - Geocode [Russia, Moscow, Akademika Tupoleva Embankment, 15к22]>","['55.761376', '37.678703']",55.761376,37.678703
80,ATM50527,Область Пензенская Город Пенза Проезд Клары Цеткин Дом 44А,"<[OK] Yandex - Geocode [Russia, Penza, Klary Tsetkin Drive]>","['53.219818', '45.047933']",53.219818,45.047933
81,ATM50529,Город Москва Шоссе Очаковское Дом 18 стр. 3,"<[OK] Yandex - Geocode [Russia, Moscow, Ochakovskoye Highway, 18с3]>","['55.692115', '37.450064']",55.692115,37.450064
84,ATM50564,Область Ярославская Город Ярославль Проезд Промышленный 2-й Дом 11,"<[OK] Yandex - Geocode [Russia, Yaroslavl, 2-y Promyshlenny proyezd, 11]>","['57.660692', '39.81805']",57.660692,39.81805
85,ATM50577,Область Липецкая Город Липецк Проспект им 60-летия СССР Дом 23-А,"<[OK] Yandex - Geocode [Russia, Lipetsk, prospekt imeni 60-letiya SSSR, 23А]>","['52.587044', '39.53226']",52.587044,39.53226
86,ATM50579,Область Костромская Район Костромской Город Кострома Улица Смоленская Дом 32,"<[OK] Yandex - Geocode [Russia, Kostroma, Smolenskaya ulitsa, 32]>","['57.764322', '40.940297']",57.764322,40.940297
87,ATM50589,Край Приморский Город Владивосток Улица Анны Щетининой Дом 21,"<[OK] Yandex - Geocode [Russia, Primorye Territory, Vladivostok, mikrorayon Snegovaya Pad, ulitsa Anny Shchetininoy, 21]>","['43.16246', '131.952373']",43.16246,131.952373
