bank;level;is_walk_in;bucket;REP_MONTH;GEN_MONTH;prod_type;CLIENT_CATEGORY_BUDGET;NUM;VAR;NUM_REG;VAR_REG
RB;2;0;Cumulative 1-90 Consumer;2018-05-01 00:00:00.000;2018-02-01 00:00:00.000;Consumer;Consumer;24;781650.50;24;781650,5
RB;2;0;Cumulative 1-90 Consumer;2018-05-01 00:00:00.000;2018-02-01 00:00:00.000;Consumer;Payroll;9176;1933869014.25;8997;1896167644
RB;2;0;Cumulative 1-90 Consumer;2018-06-01 00:00:00.000;2018-03-01 00:00:00.000;Consumer;Bona-fide;20586;5192394853.61;20116;5051454673
RB;2;0;Cumulative 1-90 Consumer;2018-06-01 00:00:00.000;2018-03-01 00:00:00.000;Consumer;Consumer;27;814897.35;27;814897,35
RB;2;0;Cumulative 1-90 Consumer;2018-06-01 00:00:00.000;2018-03-01 00:00:00.000;Consumer;Payroll;8876;1900155595.99;8693;1859352012
RB;2;0;Cumulative 1-90 Consumer;2018-07-01 00:00:00.000;2018-04-01 00:00:00.000;Consumer;Bona-fide;19394;4867193418.46;18916;4721555404
RB;2;0;Cumulative 1-90 Consumer;2018-07-01 00:00:00.000;2018-04-01 00:00:00.000;Consumer;Consumer;32;1017280.76;32;1017280,76
RB;2;0;Cumulative 1-90 Consumer;2018-07-01 00:00:00.000;2018-04-01 00:00:00.000;Consumer;Payroll;8522;1869253099.99;8341;1824299387
RB;2;0;Cumulative 1-90 Consumer;2018-08-01 00:00:00.000;2018-05-01 00:00:00.000;Consumer;Bona-fide;23109;6022832969.84;22562;5863501554
RB;2;0;Cumulative 1-90 Consumer;2018-08-01 00:00:00.000;2018-05-01 00:00:00.000;Consumer;Consumer;27;797291.53;27;797291,53
